algorithm,type,scenario,n,run,time_ns,peak_dynamic_bytes
quicksort,unknown,random,4000,7,283100,0
mergesort,unknown,random,4000,8,342600,32000
quicksort,unknown,random,4000,8,278800,0
mergesort,unknown,random,4000,9,340100,32000
quicksort,unknown,random,4000,9,286500,0
mergesort,unknown,random,4000,10,342200,32000
quicksort,unknown,random,4000,10,289600,0
mergesort,unknown,random,4000,11,343400,32000
quicksort,unknown,random,4000,11,281300,0
mergesort,unknown,random,4000,12,353200,32000
quicksort,unknown,random,4000,12,281800,0
mergesort,unknown,random,4000,13,355200,32000
quicksort,unknown,random,4000,13,287900,0
mergesort,unknown,random,4000,14,347600,32000
quicksort,unknown,random,4000,14,285800,0
mergesort,unknown,random,4000,15,346600,32000
quicksort,unknown,random,4000,15,284800,0
mergesort,unknown,random,4000,16,349900,32000
quicksort,unknown,random,4000,16,286700,0
mergesort,unknown,random,4000,17,348100,32000
quicksort,unknown,random,4000,17,285200,0
mergesort,unknown,random,4000,18,352000,32000
quicksort,unknown,random,4000,18,307600,0
mergesort,unknown,random,4000,19,347400,32000
quicksort,unknown,random,4000,19,305200,0
mergesort,unknown,random,4000,20,350000,32000
quicksort,unknown,random,4000,20,288000,0
mergesort,unknown,random,4000,21,347300,32000
quicksort,unknown,random,4000,21,290500,0
mergesort,unknown,random,4000,22,346700,32000
quicksort,unknown,random,4000,22,284600,0
mergesort,unknown,random,4000,23,346400,32000
quicksort,unknown,random,4000,23,283200,0
mergesort,unknown,random,4000,24,347600,32000
quicksort,unknown,random,4000,24,280700,0
mergesort,unknown,random,4000,25,348500,32000
quicksort,unknown,random,4000,25,274600,0
mergesort,unknown,random,4000,26,349200,32000
quicksort,unknown,random,4000,26,293100,0
mergesort,unknown,random,4000,27,347800,32000
quicksort,unknown,random,4000,27,290400,0
mergesort,unknown,random,4000,28,344200,32000
quicksort,unknown,random,4000,28,287600,0
mergesort,unknown,random,4000,29,346700,32000
quicksort,unknown,random,4000,29,285800,0
mergesort,unknown,random,4000,30,345500,32000
quicksort,unknown,random,4000,30,289800,0
mergesort,unknown,asc,5000,1,181300,40000
quicksort,unknown,asc,5000,1,38012300,0
mergesort,unknown,asc,5000,2,178800,40000
quicksort,unknown,asc,5000,2,37876100,0
mergesort,unknown,asc,5000,3,179800,40000
quicksort,unknown,asc,5000,3,37986500,0
mergesort,unknown,asc,5000,4,179300,40000
quicksort,unknown,asc,5000,4,37904300,0
mergesort,unknown,asc,5000,5,178900,40000
quicksort,unknown,asc,5000,5,37901200,0
mergesort,unknown,asc,5000,6,178600,40000
quicksort,unknown,asc,5000,6,37882100,0
mergesort,unknown,asc,5000,7,179800,40000
quicksort,unknown,asc,5000,7,37927100,0
mergesort,unknown,asc,5000,8,178900,40000
quicksort,unknown,asc,5000,8,37807200,0
mergesort,unknown,asc,5000,9,177900,40000
quicksort,unknown,asc,5000,9,37853900,0
mergesort,unknown,asc,5000,10,179100,40000
quicksort,unknown,asc,5000,10,37955200,0
mergesort,unknown,asc,5000,11,178900,40000
quicksort,unknown,asc,5000,11,37881300,0
mergesort,unknown,asc,5000,12,179200,40000
quicksort,unknown,asc,5000,12,37905400,0
mergesort,unknown,asc,5000,13,181200,40000
quicksort,unknown,asc,5000,13,37865300,0
mergesort,unknown,asc,5000,14,178700,40000
quicksort,unknown,asc,5000,14,37868900,0
mergesort,unknown,asc,5000,15,178200,40000
quicksort,unknown,asc,5000,15,37860700,0
mergesort,unknown,asc,5000,16,178100,40000
quicksort,unknown,asc,5000,16,37891800,0
mergesort,unknown,asc,5000,17,179600,40000
quicksort,unknown,asc,5000,17,37979700,0
mergesort,unknown,asc,5000,18,179400,40000
quicksort,unknown,asc,5000,18,37873200,0
mergesort,unknown,asc,5000,19,178000,40000
quicksort,unknown,asc,5000,19,37979400,0
mergesort,unknown,asc,5000,20,187000,40000
quicksort,unknown,asc,5000,20,37927300,0
mergesort,unknown,asc,5000,21,178600,40000
quicksort,unknown,asc,5000,21,37879900,0
mergesort,unknown,asc,5000,22,178700,40000
quicksort,unknown,asc,5000,22,37961700,0
mergesort,unknown,asc,5000,23,179700,40000
quicksort,unknown,asc,5000,23,38032100,0
mergesort,unknown,asc,5000,24,179200,40000
quicksort,unknown,asc,5000,24,38072300,0
mergesort,unknown,asc,5000,25,179800,40000
quicksort,unknown,asc,5000,25,38023500,0
mergesort,unknown,asc,5000,26,180400,40000
quicksort,unknown,asc,5000,26,38083900,0
mergesort,unknown,asc,5000,27,180500,40000
quicksort,unknown,asc,5000,27,37991700,0
mergesort,unknown,asc,5000,28,180700,40000
quicksort,unknown,asc,5000,28,37983700,0
mergesort,unknown,asc,5000,29,181200,40000
quicksort,unknown,asc,5000,29,38030900,0
mergesort,unknown,asc,5000,30,179300,40000
quicksort,unknown,asc,5000,30,37989000,0
mergesort,unknown,desc,5000,1,180100,40000
quicksort,unknown,desc,5000,1,24730100,0
mergesort,unknown,desc,5000,2,180300,40000
quicksort,unknown,desc,5000,2,24723500,0
mergesort,unknown,desc,5000,3,180100,40000
quicksort,unknown,desc,5000,3,24771900,0
mergesort,unknown,desc,5000,4,179800,40000
quicksort,unknown,desc,5000,4,24705100,0
mergesort,unknown,desc,5000,5,179100,40000
quicksort,unknown,desc,5000,5,24710100,0
mergesort,unknown,desc,5000,6,179800,40000
quicksort,unknown,desc,5000,6,24710500,0
mergesort,unknown,desc,5000,7,179800,40000
quicksort,unknown,desc,5000,7,24661500,0
mergesort,unknown,desc,5000,8,179900,40000
quicksort,unknown,desc,5000,8,24726400,0
mergesort,unknown,desc,5000,9,179200,40000
quicksort,unknown,desc,5000,9,24710300,0
mergesort,unknown,desc,5000,10,180100,40000
quicksort,unknown,desc,5000,10,24645000,0
mergesort,unknown,desc,5000,11,179900,40000
quicksort,unknown,desc,5000,11,24629700,0
mergesort,unknown,desc,5000,12,179800,40000
quicksort,unknown,desc,5000,12,24630100,0
mergesort,unknown,desc,5000,13,179900,40000
quicksort,unknown,desc,5000,13,24731300,0
mergesort,unknown,desc,5000,14,181300,40000
quicksort,unknown,desc,5000,14,24741000,0
mergesort,unknown,desc,5000,15,179700,40000
quicksort,unknown,desc,5000,15,24722700,0
mergesort,unknown,desc,5000,16,179900,40000
quicksort,unknown,desc,5000,16,24727600,0
mergesort,unknown,desc,5000,17,179700,40000
quicksort,unknown,desc,5000,17,24739500,0
mergesort,unknown,desc,5000,18,180000,40000
quicksort,unknown,desc,5000,18,24731700,0
mergesort,unknown,desc,5000,19,181100,40000
quicksort,unknown,desc,5000,19,24755800,0
mergesort,unknown,desc,5000,20,180300,40000
quicksort,unknown,desc,5000,20,24656800,0
mergesort,unknown,desc,5000,21,178800,40000
quicksort,unknown,desc,5000,21,24691900,0
mergesort,unknown,desc,5000,22,180800,40000
quicksort,unknown,desc,5000,22,24644400,0
mergesort,unknown,desc,5000,23,178800,40000
quicksort,unknown,desc,5000,23,24681000,0
mergesort,unknown,desc,5000,24,180400,40000
quicksort,unknown,desc,5000,24,24669200,0
mergesort,unknown,desc,5000,25,178800,40000
quicksort,unknown,desc,5000,25,24726900,0
mergesort,unknown,desc,5000,26,179800,40000
quicksort,unknown,desc,5000,26,24720100,0
mergesort,unknown,desc,5000,27,180900,40000
quicksort,unknown,desc,5000,27,24733200,0
mergesort,unknown,desc,5000,28,180100,40000
quicksort,unknown,desc,5000,28,24742400,0
mergesort,unknown,desc,5000,29,179900,40000
quicksort,unknown,desc,5000,29,24729600,0
mergesort,unknown,desc,5000,30,180000,40000
quicksort,unknown,desc,5000,30,24730800,0
mergesort,unknown,random,5000,1,452500,40000
quicksort,unknown,random,5000,1,373700,0
mergesort,unknown,random,5000,2,445900,40000
quicksort,unknown,random,5000,2,367400,0
mergesort,unknown,random,5000,3,446400,40000
quicksort,unknown,random,5000,3,358500,0
mergesort,unknown,random,5000,4,454500,40000
quicksort,unknown,random,5000,4,375700,0
mergesort,unknown,random,5000,5,448800,40000
quicksort,unknown,random,5000,5,371100,0
mergesort,unknown,random,5000,6,442600,40000
quicksort,unknown,random,5000,6,363400,0
mergesort,unknown,random,5000,7,442500,40000
quicksort,unknown,random,5000,7,366500,0
mergesort,unknown,random,5000,8,442900,40000
quicksort,unknown,random,5000,8,367500,0
mergesort,unknown,random,5000,9,444600,40000
quicksort,unknown,random,5000,9,362200,0
mergesort,unknown,random,5000,10,445400,40000
quicksort,unknown,random,5000,10,368000,0
mergesort,unknown,random,5000,11,446800,40000
quicksort,unknown,random,5000,11,372000,0
mergesort,unknown,random,5000,12,446000,40000
quicksort,unknown,random,5000,12,369100,0
mergesort,unknown,random,5000,13,443100,40000
quicksort,unknown,random,5000,13,361000,0
mergesort,unknown,random,5000,14,443400,40000
quicksort,unknown,random,5000,14,360900,0
mergesort,unknown,random,5000,15,441300,40000
quicksort,unknown,random,5000,15,363800,0
mergesort,unknown,random,5000,16,443400,40000
quicksort,unknown,random,5000,16,350200,0
mergesort,unknown,random,5000,17,445200,40000
quicksort,unknown,random,5000,17,372700,0
mergesort,unknown,random,5000,18,445300,40000
quicksort,unknown,random,5000,18,368500,0
mergesort,unknown,random,5000,19,444500,40000
quicksort,unknown,random,5000,19,367700,0
mergesort,unknown,random,5000,20,444600,40000
quicksort,unknown,random,5000,20,377000,0
mergesort,unknown,random,5000,21,443700,40000
quicksort,unknown,random,5000,21,374900,0
mergesort,unknown,random,5000,22,453500,40000
quicksort,unknown,random,5000,22,365100,0
mergesort,unknown,random,5000,23,442100,40000
quicksort,unknown,random,5000,23,366900,0
mergesort,unknown,random,5000,24,444600,40000
quicksort,unknown,random,5000,24,359600,0
mergesort,unknown,random,5000,25,442200,40000
quicksort,unknown,random,5000,25,377400,0
mergesort,unknown,random,5000,26,448000,40000
quicksort,unknown,random,5000,26,370500,0
mergesort,unknown,random,5000,27,444700,40000
quicksort,unknown,random,5000,27,383700,0
mergesort,unknown,random,5000,28,444100,40000
quicksort,unknown,random,5000,28,367600,0
mergesort,unknown,random,5000,29,442900,40000
quicksort,unknown,random,5000,29,374100,0
mergesort,unknown,random,5000,30,445900,40000
quicksort,unknown,random,5000,30,362000,0
mergesort,unknown,asc,10000,1,406700,80000
quicksort,unknown,asc,10000,1,152129100,0
mergesort,unknown,asc,10000,2,416700,80000
quicksort,unknown,asc,10000,2,151493500,0
mergesort,unknown,asc,10000,3,404900,80000
quicksort,unknown,asc,10000,3,151889400,0
mergesort,unknown,asc,10000,4,406300,80000
quicksort,unknown,asc,10000,4,152179900,0
mergesort,unknown,asc,10000,5,414600,80000
quicksort,unknown,asc,10000,5,152290500,0
mergesort,unknown,asc,10000,6,406800,80000
quicksort,unknown,asc,10000,6,152092400,0
mergesort,unknown,asc,10000,7,411300,80000
quicksort,unknown,asc,10000,7,151571300,0
mergesort,unknown,asc,10000,8,406000,80000
quicksort,unknown,asc,10000,8,152087500,0
mergesort,unknown,asc,10000,9,408300,80000
quicksort,unknown,asc,10000,9,152072900,0
mergesort,unknown,asc,10000,10,418400,80000
quicksort,unknown,asc,10000,10,151462200,0
mergesort,unknown,asc,10000,11,408000,80000
quicksort,unknown,asc,10000,11,151501200,0
mergesort,unknown,asc,10000,12,404300,80000
quicksort,unknown,asc,10000,12,151653100,0
mergesort,unknown,asc,10000,13,406000,80000
quicksort,unknown,asc,10000,13,151354900,0
mergesort,unknown,asc,10000,14,401700,80000
quicksort,unknown,asc,10000,14,151618700,0
mergesort,unknown,asc,10000,15,406100,80000
quicksort,unknown,asc,10000,15,151745400,0
mergesort,unknown,asc,10000,16,410700,80000
quicksort,unknown,asc,10000,16,151557400,0
mergesort,unknown,asc,10000,17,407400,80000
quicksort,unknown,asc,10000,17,151629700,0
mergesort,unknown,asc,10000,18,429100,80000
quicksort,unknown,asc,10000,18,152411500,0
mergesort,unknown,asc,10000,19,413900,80000
quicksort,unknown,asc,10000,19,152352900,0
mergesort,unknown,asc,10000,20,410900,80000
quicksort,unknown,asc,10000,20,152354300,0
mergesort,unknown,asc,10000,21,411400,80000
quicksort,unknown,asc,10000,21,152465800,0
mergesort,unknown,asc,10000,22,412300,80000
quicksort,unknown,asc,10000,22,152449300,0
mergesort,unknown,asc,10000,23,410800,80000
quicksort,unknown,asc,10000,23,152976900,0
mergesort,unknown,asc,10000,24,428800,80000
quicksort,unknown,asc,10000,24,152912700,0
mergesort,unknown,asc,10000,25,421300,80000
quicksort,unknown,asc,10000,25,152493600,0
mergesort,unknown,asc,10000,26,416900,80000
quicksort,unknown,asc,10000,26,153917900,0
mergesort,unknown,asc,10000,27,420500,80000
quicksort,unknown,asc,10000,27,154634400,0
mergesort,unknown,asc,10000,28,424900,80000
quicksort,unknown,asc,10000,28,154402800,0
mergesort,unknown,asc,10000,29,424600,80000
quicksort,unknown,asc,10000,29,153677500,0
mergesort,unknown,asc,10000,30,437500,80000
quicksort,unknown,asc,10000,30,153590200,0
mergesort,unknown,desc,10000,1,414000,80000
quicksort,unknown,desc,10000,1,100972200,0
mergesort,unknown,desc,10000,2,414700,80000
quicksort,unknown,desc,10000,2,100183400,0
mergesort,unknown,desc,10000,3,412600,80000
quicksort,unknown,desc,10000,3,99510400,0
mergesort,unknown,desc,10000,4,413400,80000
quicksort,unknown,desc,10000,4,99983500,0
mergesort,unknown,desc,10000,5,425700,80000
quicksort,unknown,desc,10000,5,99852200,0
mergesort,unknown,desc,10000,6,414200,80000
quicksort,unknown,desc,10000,6,99845100,0
mergesort,unknown,desc,10000,7,406300,80000
quicksort,unknown,desc,10000,7,99254600,0
mergesort,unknown,desc,10000,8,425400,80000
quicksort,unknown,desc,10000,8,100240200,0
mergesort,unknown,desc,10000,9,419300,80000
quicksort,unknown,desc,10000,9,99819100,0
mergesort,unknown,desc,10000,10,421800,80000
quicksort,unknown,desc,10000,10,100463800,0
mergesort,unknown,desc,10000,11,422900,80000
quicksort,unknown,desc,10000,11,99846300,0
mergesort,unknown,desc,10000,12,429400,80000
quicksort,unknown,desc,10000,12,100478800,0
mergesort,unknown,desc,10000,13,406300,80000
quicksort,unknown,desc,10000,13,99754200,0
mergesort,unknown,desc,10000,14,415500,80000
quicksort,unknown,desc,10000,14,100387000,0
mergesort,unknown,desc,10000,15,429800,80000
quicksort,unknown,desc,10000,15,100853000,0
mergesort,unknown,desc,10000,16,418200,80000
quicksort,unknown,desc,10000,16,99835500,0
mergesort,unknown,desc,10000,17,418200,80000
quicksort,unknown,desc,10000,17,99872500,0
mergesort,unknown,desc,10000,18,423100,80000
quicksort,unknown,desc,10000,18,99222900,0
mergesort,unknown,desc,10000,19,412600,80000
quicksort,unknown,desc,10000,19,99261100,0
mergesort,unknown,desc,10000,20,422800,80000
quicksort,unknown,desc,10000,20,99856200,0
mergesort,unknown,desc,10000,21,420100,80000
quicksort,unknown,desc,10000,21,99617600,0
mergesort,unknown,desc,10000,22,422500,80000
quicksort,unknown,desc,10000,22,100605100,0
mergesort,unknown,desc,10000,23,426500,80000
quicksort,unknown,desc,10000,23,99740100,0
mergesort,unknown,desc,10000,24,417700,80000
quicksort,unknown,desc,10000,24,99636000,0
mergesort,unknown,desc,10000,25,425300,80000
quicksort,unknown,desc,10000,25,99765300,0
mergesort,unknown,desc,10000,26,410800,80000
quicksort,unknown,desc,10000,26,99652900,0
mergesort,unknown,desc,10000,27,417100,80000
quicksort,unknown,desc,10000,27,99666600,0
mergesort,unknown,desc,10000,28,417700,80000
quicksort,unknown,desc,10000,28,99381500,0
mergesort,unknown,desc,10000,29,410200,80000
quicksort,unknown,desc,10000,29,99108300,0
mergesort,unknown,desc,10000,30,407600,80000
quicksort,unknown,desc,10000,30,99129900,0
mergesort,unknown,random,10000,1,1002300,80000
quicksort,unknown,random,10000,1,795100,0
mergesort,unknown,random,10000,2,975100,80000
quicksort,unknown,random,10000,2,820500,0
mergesort,unknown,random,10000,3,977500,80000
quicksort,unknown,random,10000,3,808800,0
mergesort,unknown,random,10000,4,976700,80000
quicksort,unknown,random,10000,4,752100,0
mergesort,unknown,random,10000,5,978500,80000
quicksort,unknown,random,10000,5,799600,0
mergesort,unknown,random,10000,6,972600,80000
quicksort,unknown,random,10000,6,805100,0
mergesort,unknown,random,10000,7,974800,80000
quicksort,unknown,random,10000,7,759800,0
mergesort,unknown,random,10000,8,976000,80000
quicksort,unknown,random,10000,8,779800,0
mergesort,unknown,random,10000,9,975200,80000
quicksort,unknown,random,10000,9,800300,0
mergesort,unknown,random,10000,10,986400,80000
quicksort,unknown,random,10000,10,789600,0
mergesort,unknown,random,10000,11,974200,80000
quicksort,unknown,random,10000,11,781400,0
mergesort,unknown,random,10000,12,977000,80000
quicksort,unknown,random,10000,12,786300,0
mergesort,unknown,random,10000,13,993600,80000
quicksort,unknown,random,10000,13,777800,0
mergesort,unknown,random,10000,14,979800,80000
quicksort,unknown,random,10000,14,810200,0
mergesort,unknown,random,10000,15,979300,80000
quicksort,unknown,random,10000,15,833500,0
mergesort,unknown,random,10000,16,982700,80000
quicksort,unknown,random,10000,16,794400,0
mergesort,unknown,random,10000,17,980000,80000
quicksort,unknown,random,10000,17,796300,0
mergesort,unknown,random,10000,18,993700,80000
quicksort,unknown,random,10000,18,807200,0
mergesort,unknown,random,10000,19,988900,80000
quicksort,unknown,random,10000,19,785400,0
mergesort,unknown,random,10000,20,985700,80000
quicksort,unknown,random,10000,20,796800,0
mergesort,unknown,random,10000,21,984700,80000
quicksort,unknown,random,10000,21,799500,0
mergesort,unknown,random,10000,22,982500,80000
quicksort,unknown,random,10000,22,776400,0
mergesort,unknown,random,10000,23,985600,80000
quicksort,unknown,random,10000,23,816200,0
mergesort,unknown,random,10000,24,986300,80000
quicksort,unknown,random,10000,24,809800,0
mergesort,unknown,random,10000,25,983100,80000
quicksort,unknown,random,10000,25,804100,0
mergesort,unknown,random,10000,26,988600,80000
quicksort,unknown,random,10000,26,786600,0
mergesort,unknown,random,10000,27,982700,80000
quicksort,unknown,random,10000,27,802000,0
mergesort,unknown,random,10000,28,978200,80000
quicksort,unknown,random,10000,28,788500,0
mergesort,unknown,random,10000,29,983200,80000
quicksort,unknown,random,10000,29,794300,0
mergesort,unknown,random,10000,30,988200,80000
quicksort,unknown,random,10000,30,776200,0
